Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,1.91149E+11,1.95866E+11,2.0509E+11,2.30687E+11,2.59947E+11,3.09488E+11,3.00758E+11,2.72973E+11,3.12354E+11,3.47768E+11,3.60858E+11,3.83373E+11,4.26916E+11,4.44731E+11,5.64325E+11,7.34548E+11,8.63747E+11,9.61604E+11,1.02904E+12,1.094E+12,1.21135E+12,1.3394E+12,1.47055E+12,1.66029E+12,1.95535E+12,2.28597E+12,2.75213E+12,3.55034E+12,4.59431E+12,5.1017E+12,6.08716E+12,7.5515E+12,8.53223E+12,9.57041E+12,1.04757E+13,1.10616E+13,1.12333E+13,1.23104E+13,1.38948E+13,1.43429E+13
Czech Republic,,,,,,,,,,,4.04774E+10,2.96755E+10,3.45901E+10,4.06144E+10,4.75547E+10,5.97757E+10,6.69858E+10,6.17922E+10,6.64904E+10,6.48675E+10,6.16495E+10,6.75236E+10,8.19108E+10,9.96271E+10,1.19162E+11,1.36281E+11,1.55464E+11,1.89227E+11,2.35719E+11,2.0618E+11,2.07478E+11,2.27948E+11,2.07376E+11,2.09402E+11,2.07818E+11,1.8683E+11,1.9509E+11,2.15914E+11,2.44987E+11,2.46489E+11
United Kingdom,5.64948E+11,5.40766E+11,5.15049E+11,4.89618E+11,4.61487E+11,4.89285E+11,6.01453E+11,7.45163E+11,9.10123E+11,9.26885E+11,1.09317E+12,1.1428E+12,1.17966E+12,1.06139E+12,1.14049E+12,1.34158E+12,1.41536E+12,1.55908E+12,1.65017E+12,1.6824E+12,1.65782E+12,1.64025E+12,1.78447E+12,2.05302E+12,2.41693E+12,2.53868E+12,2.71375E+12,3.10088E+12,2.92267E+12,2.41091E+12,2.47524E+12,2.65931E+12,2.70489E+12,2.78602E+12,3.0638E+12,2.92859E+12,2.69428E+12,2.66623E+12,2.86067E+12,2.82711E+12
"Korea, Rep.",6.53986E+10,7.29334E+10,7.83589E+10,8.77604E+10,9.75102E+10,1.01296E+11,1.16837E+11,1.47948E+11,1.99591E+11,2.46927E+11,2.83368E+11,3.30649E+11,3.55525E+11,3.92666E+11,4.63617E+11,5.66583E+11,6.1017E+11,5.69755E+11,3.83331E+11,4.97513E+11,5.76178E+11,5.47658E+11,6.27246E+11,7.02717E+11,7.93175E+11,9.34901E+11,1.05322E+12,1.17261E+12,1.04734E+12,9.43942E+11,1.14407E+12,1.25322E+12,1.27843E+12,1.3708E+12,1.48432E+12,1.46577E+12,1.50011E+12,1.6239E+12,1.72058E+12,1.64238E+12
United States,2.85731E+12,3.20704E+12,3.34379E+12,3.63404E+12,4.03761E+12,4.33898E+12,4.57963E+12,4.85522E+12,5.23644E+12,5.64158E+12,5.96314E+12,6.15813E+12,6.52033E+12,6.85856E+12,7.28724E+12,7.63975E+12,8.07312E+12,8.57755E+12,9.06282E+12,9.63066E+12,1.02523E+13,1.05818E+13,1.09364E+13,1.14582E+13,1.22137E+13,1.30366E+13,1.38146E+13,1.44519E+13,1.47128E+13,1.44489E+13,1.49921E+13,1.55426E+13,1.6197E+13,1.67848E+13,1.75217E+13,1.82193E+13,1.87072E+13,1.94854E+13,2.0529E+13,2.13744E+13
